country,date,year,month,monthly_volume_bn,annual_total_bn,estimation_method,source,ln_monthly_volume
Indonesia,2023-05-01,2023,5,0.46,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.7765287894989963
Indonesia,2023-06-01,2023,6,0.418,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8722738464573808
Indonesia,2023-07-01,2023,7,0.435,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8324092478934529
Indonesia,2023-08-01,2023,8,0.401,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.9137938516755678
Indonesia,2023-09-01,2023,9,0.418,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8722738464573808
Indonesia,2023-10-01,2023,10,0.543,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6106459590482015
Indonesia,2023-11-01,2023,11,0.627,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.4668087383492164
Indonesia,2023-12-01,2023,12,0.71,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.342490308946776
Philippines,2021-10-01,2021,10,2.692,8.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.9902844117824814
Philippines,2021-11-01,2021,11,2.916,8.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,1.0702128141464118
Philippines,2021-12-01,2021,12,2.393,8.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.8725478089262362
Philippines,2022-01-01,2022,1,0.406,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.9014021193804044
Philippines,2022-02-01,2022,2,0.426,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8533159327127666
Philippines,2022-03-01,2022,3,0.446,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.807436326962073
Philippines,2022-04-01,2022,4,0.385,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.9545119446943529
Philippines,2022-05-01,2022,5,0.324,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.1270117631898076
Philippines,2022-06-01,2022,6,0.243,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.4146938356415886
Philippines,2022-07-01,2022,7,0.264,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.3318061758358208
Philippines,2022-08-01,2022,8,0.223,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.5005835075220182
Philippines,2022-09-01,2022,9,0.203,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.5945492999403497
Philippines,2022-10-01,2022,10,0.195,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.6347557204183902
Philippines,2022-11-01,2022,11,0.223,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.5005835075220182
Philippines,2022-12-01,2022,12,0.162,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.820158943749753
Philippines,2023-01-01,2023,1,0.214,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.5417792639602856
Philippines,2023-02-01,2023,2,0.226,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.487220279709851
Philippines,2023-03-01,2023,3,0.253,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.374365790254617
Philippines,2023-04-01,2023,4,0.234,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.4524341636244356
Philippines,2023-05-01,2023,5,0.214,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.5417792639602856
Philippines,2023-06-01,2023,6,0.195,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.6347557204183902
Philippines,2023-07-01,2023,7,0.203,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.5945492999403497
Philippines,2023-08-01,2023,8,0.187,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.6766466621275504
Philippines,2023-09-01,2023,9,0.195,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.6347557204183902
Philippines,2023-10-01,2023,10,0.253,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.374365790254617
Philippines,2023-11-01,2023,11,0.292,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.2310014767138553
Philippines,2023-12-01,2023,12,0.331,2.8,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.1056369036050742
Thailand,2021-10-01,2021,10,5.047,15.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,1.6187940073581253
Thailand,2021-11-01,2021,11,5.467,15.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,1.698730019912862
Thailand,2021-12-01,2021,12,4.486,15.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,1.5009614360980166
Thailand,2022-01-01,2022,1,0.579,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.5464528014091419
Thailand,2022-02-01,2022,2,0.608,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.49758039701597007
Thailand,2022-03-01,2022,3,0.637,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.45098562340997367
Thailand,2022-04-01,2022,4,0.55,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.5978370007556204
Thailand,2022-05-01,2022,5,0.463,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.770028224895903
Thailand,2022-06-01,2022,6,0.348,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.0555527992076628
Thailand,2022-07-01,2022,7,0.377,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.9755100915341263
Thailand,2022-08-01,2022,8,0.319,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.1425641761972924
Thailand,2022-09-01,2022,9,0.29,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.2378743560016174
Thailand,2022-10-01,2022,10,0.278,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.2801341652915
Thailand,2022-11-01,2022,11,0.319,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.1425641761972924
Thailand,2022-12-01,2022,12,0.232,5.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.4610179073158271
Thailand,2023-01-01,2023,1,0.268,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.3167682984712803
Thailand,2023-02-01,2023,2,0.283,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.2623083813388996
Thailand,2023-03-01,2023,3,0.317,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.1488535051048565
Thailand,2023-04-01,2023,4,0.292,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.2310014767138553
Thailand,2023-05-01,2023,5,0.268,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.3167682984712803
Thailand,2023-06-01,2023,6,0.244,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.410587053688935
Thailand,2023-07-01,2023,7,0.253,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.374365790254617
Thailand,2023-08-01,2023,8,0.234,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.4524341636244356
Thailand,2023-09-01,2023,9,0.244,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.410587053688935
Thailand,2023-10-01,2023,10,0.317,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.1488535051048565
Thailand,2023-11-01,2023,11,0.366,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.0051219455807707
Thailand,2023-12-01,2023,12,0.414,3.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8818893051568227
Vietnam,2021-10-01,2021,10,6.729,20.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,1.906426544206181
Vietnam,2021-11-01,2021,11,7.29,20.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,1.986503546020567
Vietnam,2021-12-01,2021,12,5.981,20.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,1.78858777806242
Vietnam,2022-01-01,2022,1,1.043,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.042101176018635326
Vietnam,2022-02-01,2022,2,1.095,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.09075436326846412
Vietnam,2022-03-01,2022,3,1.147,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.13714983814723367
Vietnam,2022-04-01,2022,4,0.991,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.00904074465214907
Vietnam,2022-05-01,2022,5,0.834,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.18152187662339034
Vietnam,2022-06-01,2022,6,0.626,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.46840490788203853
Vietnam,2022-07-01,2022,7,0.678,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.38860799104174143
Vietnam,2022-08-01,2022,8,0.574,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.5551258826625707
Vietnam,2022-09-01,2022,9,0.521,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6520052372287701
Vietnam,2022-10-01,2022,10,0.501,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6911491778972723
Vietnam,2022-11-01,2022,11,0.574,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.5551258826625707
Vietnam,2022-12-01,2022,12,0.417,9.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8746690571833357
Vietnam,2023-01-01,2023,1,0.421,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8651224452997557
Vietnam,2023-02-01,2023,2,0.444,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8119307165499123
Vietnam,2023-03-01,2023,3,0.498,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6971552019574841
Vietnam,2023-04-01,2023,4,0.46,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.7765287894989963
Vietnam,2023-05-01,2023,5,0.421,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.8651224452997557
Vietnam,2023-06-01,2023,6,0.383,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.959720289801491
Vietnam,2023-07-01,2023,7,0.398,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.9213032736976993
Vietnam,2023-08-01,2023,8,0.368,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.9996723408132061
Vietnam,2023-09-01,2023,9,0.383,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.959720289801491
Vietnam,2023-10-01,2023,10,0.498,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6971552019574841
Vietnam,2023-11-01,2023,11,0.575,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.5533852381847867
Vietnam,2023-12-01,2023,12,0.651,5.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.42924563677356775
